id,question,answer,url,main_category,sub_category,intent,intent_explain,intent_id
1,1岁宝宝怎么确定得了糖尿病,你好，怎么确定孩子得了糖尿病那么通常来说是可以通过检查来确诊的，现在的话要注意通过胰岛素来进行治疗，那么您可以先在医院里根据要求来给宝宝学习注射的。而且平时要注意控制好饮食，注意避免高胆固醇高脂肪的食物，多注意休息，避免身体劳累。,http://ask.39.net//question/57843038.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
566,Ⅱ型糖尿病如何鉴别,2型糖尿病鉴别会出现小便普遍，是您血糖太高并加入泌尿系统感染的标志。假如体内含糖量太高，我们的肾脏就不能正常事情。假如尿液中的葡萄糖含量过高，我们必需从消中化吸收大量水分，造成小便普遍。,http://ask.39.net//question/88612127.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
917,测量糖尿病的仪器准确吗,现在测量糖尿病血糖的仪器是很先进的，可以这样说只要您严格的按照血糖仪的操作步骤完成检测，那么测出来的血糖值肯定是正确的，不过血糖仪和静脉抽血测验的结果还是有一点点的误差，在临床上血糖仪的误差值不会影响医生的诊断，可见血糖仪测血糖的准确度还是很高的。,http://ask.39.net//question/57622993.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
953,产后多久血糖不恢复成为糖尿病,妊娠期糖尿病的产妇，产后普遍都可恢复正常，病患需注重良好的生活和饮食习惯，不能长时间的高脂、高糖、高碳水化合物饮食，因此且须要活动。防止劳累，注重观察恶露的量、性子、颜色，恶露有异味、量多要按时就诊，以避免妊娠物残留。防止劳累，注意观察恶露的量、性子、颜色，恶露有异味、量多要按时就诊，以避免妊娠物残留。,http://ask.39.net//question/90889509.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
1056,吃过饭可以检查是否有糖尿病吗,你好；这种情况可以检查餐后血糖数值的。也可以检查出了有没有糖尿病的。,http://ask.39.net//question/21663750.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
2164,耐糖量受损多久能变成糖尿病,糖耐量受损还不是糖尿病，但是会有转为糖尿病的可能性。病患三餐的总量须要掌握，通常吃七八分饱，防止吃糖分含量高大概油脂含量高的食品，还有须要增强活动锻炼，饮食掌握和活动以后还是不能下降血糖就需要全身高低组织降糖药品，大概是胰岛素医治。,http://ask.39.net//question/90782340.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
5754,糖尿病肾病诊断方法,糖尿病肾病的诊疗须要依据病史及临床出现来选择判定，通常糖尿病病发后5年能够出现糖尿病肾病，2型糖尿病患者部分患者在病发时即存在微量的白蛋白尿，此时也应当怀疑为糖尿病肾病。,http://ask.39.net//question/88657492.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
6313,糖尿病引起植物神经紊乱如何确诊,你好，糖尿病患者出现植物神经病变首先要将血糖控制好，如果血糖控制的不好病情也会反复的，建议到医院检查一下胰岛功能，然后根据病情制定适合的治疗方案，首先先将血糖控制下来，饮食运动一定要控制得当。,http://ask.39.net//question/48201723.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
6554,糖尿病人得肺癌能活多久,癌症患者由于肿瘤对机体的恶性消耗，所以需要比正常人多食用一些富含蛋白质，维生素和矿物质的食物，以维持机体的需要。而糖尿病患者需要严格控制热量以维持血糖的平衡，在两种病同时出现时应该以维持生命为主，所以可以适当的将血糖向上升一些，不要控制的太严格，主要以维持体力，对抗癌症为主。但由于有糖尿病，主要避免甜食。,http://ask.39.net/question/108232984.html,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
7068,正常空腹血糖值是多少,正常人空腹血糖值在3.9毫摩尔每升-6.1毫摩尔每升。血糖主要是指血液中的葡萄糖浓度，人在空腹和餐后的血糖浓度的标准是不同的，并且人处于正常状态和怀孕之后的血糖也是不一样的。正常人空腹时的血糖浓度应该在3.61到6.05毫摩尔每升，当小于3.61毫摩尔每升时，就可能是因为低血糖。如果空腹血糖超过7.8或者餐后两小时血糖超过11.1毫摩尔每升，那么就可以诊断为糖尿病。如果出现血糖升高，需要到医院进一步检查，以明确诊断，并在医生的指导下应用药物进行治疗。,http://club.xywy.com/static/20220406/194198122.htm,Diagnosis(诊断）,other（其他）,A0,诊断大类其他意图,0
